ID,Year,Edition,Expansion,Number,Team,Name,Points,Icons,Position1,Position2,Hand,OnBase,Out_H,HR_H,Speed,Control,Out_P,HR_P,IP,PU,SO,GB,FB,BB,Single,SinglePlus,Double,Triple,HR,Def_C,Def_1B,Def_2B,Def_SS,Def_3B,Def_LFRF,Def_CF,Icon_R,Icon_RY,Icon_G,Icon_S,Icon_SB,Icon_HR,Icon_V,Icon_20,Icon_CY,Icon_K
1,'00,1st,Base,1,Angels,Garret Anderson,250,,CF+3,LF-RF+2,L,7,4,18,15,NA,NA,NA,NA,',','1-3,'4,','5-14,','15-17,','18-20,NA,NA,NA,NA,NA,2,3,,,,,,,,,,
2,'00,1st,PR,1,Angels,Kent Bottenfield,330,,Starter,,R,NA,NA,NA,NA,3,16,NA,6,'5-7,'1-4,'8-12,'13-16,'17,'18-19,','20,',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
3,'01,1st,Base,1,Angels,Garret Anderson,230,,CF+2,LF-RF+1,L,7,5,17,15,NA,NA,NA,NA,',','1-3,'4-5,','6-12,'13,'14-16,','17-20,NA,NA,NA,NA,NA,1,2,,,,,,,,,,
4,'01,1st,PR,1,Rangers,Randy Velarde,210,,2B+4,,R,8,3,20,15,NA,NA,NA,NA,','1,'2-3,','4-8,'9-16,'17,'18-19,','20+,NA,NA,4,NA,NA,NA,NA,,,,,,,,,,
5,'02,UL,Base,1,Angels,Garret Anderson,220,,LF-RF+2,,L,9,6,18,15,NA,NA,NA,NA,','1,'2-4,'5-6,','7-14,'15,'16-17,','18+,NA,NA,NA,NA,NA,2,NA,,,,,,,,,,
6,'02,UL,TD,1,Yankees,Jason Giambi,530,,1B+0,,L,14,6,19,12,NA,NA,NA,NA,','1-2,'3-4,'5-6,'7-12,'13-16,','17-18,','19+,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,
7,'02,UL,PR,1,Twins,J.C. Romero,380,,Starter,,L,NA,NA,NA,NA,4,17,27,6,'1-3,'4-10,'11-15,'16-17,'18-26,',',',','27+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
8,'02,ASG,ASG,1,Angels,Garret Anderson,280,,LF-RF+2,,L,10,6,19,15,NA,NA,NA,NA,','1,'2-4,'5-6,','7-14,'15,'16-18,','19+,NA,NA,NA,NA,NA,2,NA,,,,,,,,,,
9,'03,UL,Base,1,Angels,Garret Anderson,520,S,LF-RF+1,,L,11,6,19,11,NA,NA,NA,NA,','1,'2-3,'4-6,'7,'8-14,','15-18,','19+,NA,NA,NA,NA,NA,1,NA,,,,1,,,,,,
10,'03,P,Base,1,Royals,Aaron Guiel,70,,LF-RF+1,,L,8,6,20,13,NA,NA,NA,NA,','1-2,'3-4,'5-6,'7-10,'11-17,','18-19,','20+,NA,NA,NA,NA,NA,1,NA,,,,,,,,,,
11,'03,UL,TD,1,Cardinals,So Taguchi,10,R,LF-RF+1,,R,9,10,23,11,NA,NA,NA,NA,','1-2,'3-7,'8-10,'11-13,'14-18,','19-22,','23+,NA,NA,NA,NA,NA,1,NA,1,,,,,,,,,
12,'03,UL,PR,1,Marlins,Josh Beckett,80,,Starter,,R,NA,NA,NA,NA,2,16,22,5,','1-6,'7-12,'13-16,'17,'18-19,','20-21,','22+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
13,'04,UL,Base,1,Angels,Garrett Anderson,530,S,LF-RF+2,,L,11,6,19,11,NA,NA,NA,NA,','1,'2-4,'5-6,'7-8,'9-15,','16-18,','19+,NA,NA,NA,NA,NA,2,NA,,,,1,,,,,,
