"ID","Year","Edition","Expansion","Number","Team","Name","Points","Icons","Position1","Position2","Hand","OnBase","Out_H","HR_H","Speed","Control","Out_P","HR_P","IP","PU","SO","GB","FB","BB","Single","SinglePlus","Double","Triple","HR","Def_C","Def_1B","Def_2B","Def_SS","Def_3B","Def_LFRF","Def_CF","Icon_R","Icon_RY","Icon_G","Icon_S","Icon_SB","Icon_HR","Icon_V","Icon_20","Icon_CY","Icon_K","PU_n","SO_n","GB_n","FB_n","BB_n","Single_n","SinglePlus_n","Double_n","Triple_n","HR_n","WHIP_all","WHIP_350","oOBP_all","oOBP_350","oSLG_all","oSLG_350","oOPS_all","oOPS_350","BA_all","BA_350","OBP_all","OBP_350","SLG_all","SLG_350","OPS_all","OPS_350","Role","OPS_z"
1,"'00","1st","Base","1","Angels","Garret Anderson","250","","CF+3","LF-RF+2","L",7,4,1820,15,NA,NA,NA,NA,"'","'","'1-3","'4","'","'5-14","'","'15-17","'","'18-20",NA,NA,NA,NA,NA,2,3,"","","","","","","","","","",0,0,3,1,0,10,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,0.257452504644669,0.252167926268795,0.297765047879617,0.289606299212598,0.39989158292616,0.385172787092113,0.697656630805777,0.674779086304711,"Batter",-0.877334841688822
2,"'00","1st","PR","1","Angels","Kent Bottenfield","330","","Starter","","R",NA,NA,NA,NA,3,16,NA,6,"'5-7","'1-4","'8-12","'13-16","'17","'18-19","'","'20","'","'",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",3,4,5,4,1,2,0,1,0,0,1.75118421737546,1.93180092930602,0.368578471651602,0.394657057654076,0.509060678919783,0.574316123954002,0.877639150571386,0.968973181608077,NA,NA,NA,NA,NA,NA,NA,NA,"Starter",-0.319188800030122
3,"'01","1st","Base","1","Angels","Garret Anderson","230","","CF+2","LF-RF+1","L",7,5,1720,15,NA,NA,NA,NA,"'","'","'1-3","'4-5","'","'6-12","'13","'14-16","'","'17-20",NA,NA,NA,NA,NA,1,2,"","","","","","","","","","",0,0,3,2,0,7,1,3,0,4,NA,NA,NA,NA,NA,NA,NA,NA,0.248514406149457,0.243663989260921,0.288826949384405,0.281102362204724,0.42223682916419,0.406432629611798,0.711063778548595,0.687534991816522,"Batter",-0.780368493469506
4,"'01","1st","PR","1","Rangers","Randy Velarde","210","","2B+4","","R",8,3,20,15,NA,NA,NA,NA,"'","'1","'2-3","'","'4-8","'9-16","'17","'18-19","'","'20+",NA,NA,4,NA,NA,NA,NA,"","","","","","","","","","",0,1,2,0,5,8,1,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.290546869301516,0.285264458465041,0.33985123119015,0.331451771653543,0.407464813222671,0.39506852519983,0.747316044412821,0.726520296853373,"Batter",-0.518176273098637
5,"'02","UL","Base","1","Angels","Garret Anderson","220","","LF-RF+2","","L",9,6,18,15,NA,NA,NA,NA,"'","'1","'2-4","'5-6","'","'7-14","'15","'16-17","'","'18+",NA,NA,NA,NA,NA,2,NA,"","","","","","","","","","",0,1,3,2,0,8,1,2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,0.29576503696794,0.291353116645539,0.331185020519836,0.324281496062992,0.486948383236464,0.473907832861353,0.818133403756299,0.798189328924345,"Batter",-0.00599419993914738
6,"'02","UL","TD","1","Yankees","Jason Giambi","530","","1B+0","","L",14,6,19,12,NA,NA,NA,NA,"'","'1-2","'3-4","'5-6","'7-12","'13-16","'","'17-18","'","'19+",NA,0,NA,NA,NA,NA,NA,"","","","","","","","","","",0,2,2,2,6,4,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0.368253178407346,0.364968511035095,0.459425444596443,0.453489173228346,0.690581382155665,0.680170362919999,1.15000682675211,1.13365953614835,"Batter",2.39425934512874
7,"'02","UL","PR","1","Twins","J.C. Romero","380","","Starter","","L",NA,NA,NA,NA,4,17,27,6,"'1-3","'4-10","'11-15","'16-17","'18-26","'","'","'","'","'27+",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",3,7,5,2,3,0,0,0,0,0,1.32195677747279,1.48424578942509,0.305869967132293,0.334118621603711,0.309068837545287,0.380177170442571,0.61493880467758,0.714295792046282,NA,NA,NA,NA,NA,NA,NA,NA,"Starter",2.06231690295138
8,"'02","ASG","ASG","1","Angels","Garret Anderson","280","","LF-RF+2","","L",10,6,19,15,NA,NA,NA,NA,"'","'1","'2-4","'5-6","'","'7-14","'15","'16-18","'","'19+",NA,NA,NA,NA,NA,2,NA,"","","","","","","","","","",0,1,3,2,0,8,1,3,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0.323859401624787,0.319449648841786,0.356833105335157,0.350123031496063,0.508773209520206,0.496897402990067,0.865606314855364,0.847020434486131,"Batter",0.337350627530391
9,"'03","UL","Base","1","Angels","Garret Anderson","520","S","LF-RF+1","","L",11,6,19,11,NA,NA,NA,NA,"'","'1","'2-3","'4-6","'7","'8-14","'","'15-18","'","'19+",NA,NA,NA,NA,NA,1,NA,"","","","1","","","","","","",0,1,2,3,1,7,0,4,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0.345973314125252,0.34170283250923,0.382481190150479,0.375964566929134,0.571930250146234,0.560042381324335,0.954411440296713,0.936006948253469,"Batter",0.979628081496593
10,"'03","P","Base","1","Royals","Aaron Guiel","70","","LF-RF+1","","L",8,6,20,13,NA,NA,NA,NA,"'","'1-2","'3-4","'5-6","'7-10","'11-17","'","'18-19","'","'20+",NA,NA,NA,NA,NA,1,NA,"","","","","","","","","","",0,2,2,2,4,7,0,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.250513524568274,0.246750678937482,0.305536935704514,0.298439960629921,0.355040195119615,0.344633813913741,0.66057713082413,0.643073774543662,"Batter",-1.14550998050196
